,smiles,docking_score,smiles_P,docking_score_P,modification
0,CN1CCN(C(=O)c2c(-c3cccc4ccccc34)cn(Cc3cncn3Cc3ccc4c(c3)OCO4)c2F)CC1,-10.0742,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.46513,F
1,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)c(F)c2-c2cccc3ccccc23)CC1,-11.1102,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.46513,F
2,CN1CCN(C(=O)c2cn(Cc3c(F)ncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-10.72321,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.46513,F
3,CN1CCN(C(=O)c2cn(Cc3cnc(F)n3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.8425,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.46513,F
4,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3cc4c(cc3F)OCO4)cc2-c2cccc3ccccc23)CC1,-9.65473,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.46513,F
5,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3F)OCO4)cc2-c2cccc3ccccc23)CC1,-10.40618,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.46513,F
6,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3cc(F)c4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-10.134360000000001,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.46513,F
7,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2c(F)ccc3ccccc23)CC1,-9.88135,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.46513,F
8,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cc(F)cc3ccccc23)CC1,-11.129430000000001,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.46513,F
9,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2ccc(F)c3ccccc23)CC1,-9.70235,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.46513,F
