,smiles,docking_score,smiles_P,docking_score_P,modification
0,CN1CCN(C(=O)c2c(-c3cccc4ccccc34)cn(Cc3cncn3Cc3ccc4c(c3)OCO4)c2F)CC1,-9.72175,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
1,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)c(F)c2-c2cccc3ccccc23)CC1,-9.50267,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
2,CN1CCN(C(=O)c2cn(Cc3c(F)ncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-10.297360000000001,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
3,CN1CCN(C(=O)c2cn(Cc3cnc(F)n3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-8.86762,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
4,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3cc4c(cc3F)OCO4)cc2-c2cccc3ccccc23)CC1,-9.00642,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
5,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3F)OCO4)cc2-c2cccc3ccccc23)CC1,-8.4927,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
6,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3cc(F)c4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-10.00853,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
7,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2c(F)ccc3ccccc23)CC1,-8.979510000000001,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
8,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cc(F)cc3ccccc23)CC1,-9.7957,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
9,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2ccc(F)c3ccccc23)CC1,-8.87433,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
10,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3c(F)cccc23)CC1,-10.24612,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
11,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3cc(F)ccc23)CC1,-9.55118,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
12,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccc(F)cc23)CC1,-10.29652,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
13,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3cccc(F)c23)CC1,-8.74023,CN1CCN(C(=O)c2cn(Cc3cncn3Cc3ccc4c(c3)OCO4)cc2-c2cccc3ccccc23)CC1,-9.12185,F
